,date,jz,ljjz,code
0,2020-09-04,3.0061,3.0837,001632
1,2020-09-03,3.0877,3.1653,001632
2,2020-09-02,3.1051,3.1827,001632
3,2020-09-01,3.1002,3.1778,001632
4,2020-08-31,3.1162,3.1938,001632
5,2020-08-28,3.0891,3.1667,001632
6,2020-08-27,2.996,3.0736,001632
7,2020-08-26,2.9414,3.019,001632
8,2020-08-25,2.9425,3.0201,001632
9,2020-08-24,2.8983,2.9759,001632
10,2020-08-21,2.8719,2.9495,001632
11,2020-08-20,2.8073,2.8849,001632
12,2020-08-19,2.8581,2.9357,001632
13,2020-08-18,2.842,2.9196,001632
14,2020-08-17,2.7929,2.8705,001632
15,2020-08-14,2.7477,2.8253,001632
16,2020-08-13,2.691,2.7686,001632
17,2020-08-12,2.6881,2.7657,001632
18,2020-08-11,2.7367,2.8143,001632
19,2020-08-10,2.7235,2.8011,001632
20,2020-08-07,2.7126,2.7902,001632
21,2020-08-07,2.7126,2.7902,001632
22,2020-08-06,2.7326,2.8102,001632
23,2020-08-05,2.7809,2.8585,001632
24,2020-08-04,2.7576,2.8352,001632
25,2020-08-03,2.77,2.8476,001632
26,2020-07-31,2.7486,2.8262,001632
27,2020-07-30,2.736,2.8136,001632
28,2020-07-29,2.7274,2.805,001632
29,2020-07-28,2.7026,2.7802,001632
30,2020-07-27,2.6175,2.6951,001632
31,2020-07-24,2.5853,2.6629,001632
32,2020-07-23,2.7058,2.7834,001632
33,2020-07-22,2.6918,2.7694,001632
34,2020-07-21,2.6451,2.7227,001632
35,2020-07-20,2.5899,2.6675,001632
36,2020-07-17,2.6023,2.6799,001632
37,2020-07-16,2.5601,2.6377,001632
38,2020-07-15,2.7449,2.8225,001632
39,2020-07-14,2.6991,2.7767,001632
40,2020-07-13,2.6981,2.7757,001632
41,2020-07-10,2.603,2.6806,001632
42,2020-07-10,2.603,2.6806,001632
43,2020-07-09,2.5796,2.6572,001632
44,2020-07-08,2.5482,2.6258,001632
