tradedate,tclose
2017-09-04 00:00:00,3845.62
2017-09-05 00:00:00,3857.05
2017-09-06 00:00:00,3849.45
2017-09-07 00:00:00,3829.87
2017-09-08 00:00:00,3825.99
2017-09-11 00:00:00,3825.65
2017-09-12 00:00:00,3837.93
2017-09-13 00:00:00,3842.61
2017-09-14 00:00:00,3829.96
2017-09-15 00:00:00,3831.30
2017-09-18 00:00:00,3843.14
2017-09-19 00:00:00,3832.12
2017-09-20 00:00:00,3842.44
2017-09-21 00:00:00,3837.82
2017-09-22 00:00:00,3837.73
2017-09-25 00:00:00,3817.79
2017-09-26 00:00:00,3820.78
2017-09-27 00:00:00,3821.20
2017-09-28 00:00:00,3822.54
2017-09-29 00:00:00,3836.50
2017-10-09 00:00:00,3882.21
2017-10-10 00:00:00,3889.86
2017-10-11 00:00:00,3902.69
2017-10-12 00:00:00,3912.95
2017-10-13 00:00:00,3921.00
2017-10-16 00:00:00,3913.45
2017-10-17 00:00:00,3913.07
2017-10-18 00:00:00,3944.16
2017-10-19 00:00:00,3931.25
2017-10-20 00:00:00,3926.85
2017-10-23 00:00:00,3930.80
2017-10-24 00:00:00,3959.40
2017-10-25 00:00:00,3976.95
2017-10-26 00:00:00,3993.58
2017-10-27 00:00:00,4021.97
2017-10-30 00:00:00,4009.72
2017-10-31 00:00:00,4006.72
2017-11-01 00:00:00,3996.62
2017-11-02 00:00:00,3997.13
2017-11-03 00:00:00,3992.70
2017-11-06 00:00:00,4020.89
2017-11-07 00:00:00,4054.25
2017-11-08 00:00:00,4048.01
2017-11-09 00:00:00,4075.90
2017-11-10 00:00:00,4111.91
2017-11-13 00:00:00,4128.07
2017-11-14 00:00:00,4099.35
2017-11-15 00:00:00,4073.67
2017-11-16 00:00:00,4105.01
2017-11-17 00:00:00,4120.85
2017-11-20 00:00:00,4143.83
2017-11-21 00:00:00,4217.70
2017-11-22 00:00:00,4227.57
2017-11-23 00:00:00,4102.40
2017-11-24 00:00:00,4104.20
2017-11-27 00:00:00,4049.95
2017-11-28 00:00:00,4055.82
2017-11-29 00:00:00,4053.75
2017-11-30 00:00:00,4006.10
2017-12-01 00:00:00,3998.14
2017-12-04 00:00:00,4018.86
2017-12-05 00:00:00,4040.17
2017-12-06 00:00:00,4015.82
2017-12-07 00:00:00,3971.06
2017-12-08 00:00:00,4003.38
2017-12-11 00:00:00,4069.50
2017-12-12 00:00:00,4016.02
2017-12-13 00:00:00,4050.09
2017-12-14 00:00:00,4026.15
2017-12-15 00:00:00,3980.86
2017-12-18 00:00:00,3985.29
2017-12-19 00:00:00,4035.33
2017-12-20 00:00:00,4030.49
2017-12-21 00:00:00,4067.85
2017-12-22 00:00:00,4054.60
2017-12-25 00:00:00,4041.54
2017-12-26 00:00:00,4053.62
2017-12-27 00:00:00,3991.21
2017-12-28 00:00:00,4018.90
2017-12-29 00:00:00,4030.85
2018-01-02 00:00:00,4087.40
2018-01-03 00:00:00,4111.39
2018-01-04 00:00:00,4128.81
2018-01-05 00:00:00,4138.75
2018-01-08 00:00:00,4160.16
2018-01-09 00:00:00,4189.30
2018-01-10 00:00:00,4207.81
2018-01-11 00:00:00,4205.59
2018-01-12 00:00:00,4225.00
2018-01-15 00:00:00,4225.24
2018-01-16 00:00:00,4258.47
2018-01-17 00:00:00,4248.12
2018-01-18 00:00:00,4271.42
2018-01-19 00:00:00,4285.40
2018-01-22 00:00:00,4336.60
2018-01-23 00:00:00,4382.61
2018-01-24 00:00:00,4389.89
2018-01-25 00:00:00,4365.08
2018-01-26 00:00:00,4381.30
2018-01-29 00:00:00,4302.02
2018-01-30 00:00:00,4256.10
2018-01-31 00:00:00,4275.90
2018-02-01 00:00:00,4245.90
2018-02-02 00:00:00,4271.23
2018-02-05 00:00:00,4274.15
2018-02-06 00:00:00,4148.89
2018-02-07 00:00:00,4050.50
2018-02-08 00:00:00,4012.05
2018-02-09 00:00:00,3840.65
2018-02-12 00:00:00,3890.10
2018-02-13 00:00:00,3935.63
2018-02-14 00:00:00,3966.96
2018-02-22 00:00:00,4052.73
2018-02-23 00:00:00,4071.09
2018-02-26 00:00:00,4118.42
2018-02-27 00:00:00,4058.98
2018-02-28 00:00:00,4023.64
2018-03-01 00:00:00,4049.09
2018-03-02 00:00:00,4016.46
2018-03-05 00:00:00,4018.10
2018-03-06 00:00:00,4066.56
2018-03-07 00:00:00,4036.65
2018-03-08 00:00:00,4077.60
2018-03-09 00:00:00,4108.87
2018-03-12 00:00:00,4127.67
2018-03-13 00:00:00,4091.25
2018-03-14 00:00:00,4073.34
2018-03-15 00:00:00,4096.16
2018-03-16 00:00:00,4056.42
2018-03-19 00:00:00,4074.25
2018-03-20 00:00:00,4077.70
2018-03-21 00:00:00,4061.05
2018-03-22 00:00:00,4020.35
2018-03-23 00:00:00,3904.94
2018-03-26 00:00:00,3879.89
